10	1000	0.000000000
10	2000	0.000000000
10	3000	0.000000000
10	4000	0.000000000
10	5000	0.000000000
10	6000	0.000000000
10	7000	0.000000000
10	8000	0.000000000
10	9000	0.000000000
10	10000	0.001002000
10	20000	0.000969000
10	30000	0.001000000
10	40000	0.001002000
10	50000	0.001979000
10	60000	0.002036000
10	70000	0.002994000
10	80000	0.003015000
10	90000	0.003008000
10	100000	0.003008000
10	200000	0.005989000
10	300000	0.010027000
10	400000	0.012031000
10	500000	0.015039000
10	600000	0.018048000
10	700000	0.021055000
10	800000	0.025092000
10	900000	0.027098000
10	1000000	0.031114001
100	1000	0.001003000
100	2000	0.001002000
100	3000	0.001003000
100	4000	0.000999000
100	5000	0.001002000
100	6000	0.002003000
100	7000	0.002005000
100	8000	0.003008000
100	9000	0.003008000
100	10000	0.004038000
100	20000	0.007051000
100	30000	0.010063000
100	40000	0.014037000
100	50000	0.017044000
100	60000	0.022059999
100	70000	0.035092998
100	80000	0.031083001
100	90000	0.031081000
100	100000	0.035096999
100	200000	0.074196003
100	300000	0.109314002
100	400000	0.158432007
100	500000	0.168448985
100	600000	0.217577994
100	700000	0.243647009
100	800000	0.278771996
100	900000	0.310825974
100	1000000	0.344920993
1000	1000	0.002985000
1000	2000	0.008017000
1000	3000	0.010025000
1000	4000	0.014037000
1000	5000	0.018049000
1000	6000	0.020052001
1000	7000	0.026075000
1000	8000	0.029074000
1000	9000	0.032095999
1000	10000	0.036095001
1000	20000	0.073200002
1000	30000	0.104273997
1000	40000	0.155448005
1000	50000	0.188471004
1000	60000	0.217552990
1000	70000	0.247656986
1000	80000	0.313834995
1000	90000	0.311829001
1000	100000	0.368979990
1000	200000	0.851022959
1000	300000	1.066846967
1000	400000	1.464925051
1000	500000	1.772685051
1000	600000	2.098577023
1000	700000	2.495681047
1000	800000	2.791387796
1000	900000	3.288741112
1000	1000000	3.552442074
10000	1000	0.044144999
10000	2000	0.071165003
10000	3000	0.117308997
10000	4000	0.152376994
10000	5000	0.176468998
10000	6000	0.209556997
10000	7000	0.257685006
10000	8000	0.284775019
10000	9000	0.313863993
10000	10000	0.349929005
10000	20000	0.714929044
10000	30000	1.088863969
10000	40000	1.460885048
10000	50000	2.101617098
10000	60000	2.400406122
10000	70000	2.719229937
10000	80000	3.068168879
10000	90000	3.504312992
10000	100000	3.809349060
10000	200000	7.433759212
10000	300000	11.745127678
10000	400000	14.672022820
10000	500000	18.357824326
10000	600000	22.639169693
10000	700000	25.953979492
10000	800000	30.431135178
10000	900000	34.986995697
10000	1000000	37.018932343
100000	1000	0.406076998
100000	2000	0.871273041
100000	3000	1.535401940
100000	4000	1.597276092
100000	5000	1.980280042
100000	6000	2.527749062
100000	7000	2.995966911
100000	8000	2.988945961
100000	9000	3.459168911
100000	10000	4.242307186
100000	20000	8.002230644
100000	30000	11.791341782
100000	40000	16.278659821
100000	50000	20.853458405
100000	60000	24.702651978
100000	70000	28.947916031
100000	80000	31.832763672
100000	90000	36.188331604
100000	100000	39.947895050
100000	200000	81.598800659
100000	300000	122.607215881
100000	400000	157.409683228
100000	500000	176.520416260
100000	600000	217.710678101
100000	700000	251.571945190
100000	800000	292.931701660
100000	900000	320.173034668
100000	1000000	351.287536621
10000	10000	0.381020010
10000	10000	0.380008996
1000	10000	0.041088000
10000	10000	0.382515997
10000	100000	4.097893715
